year,country,id,GDPPC,DEBT,INVEST,INFLATION,POPULATION,SCHOOLING,CRISES,INSTITUTIONS,UPHEAVAL,INDEP
1898,ARG,1,2974,61.8,,-10.53,4434,1.35,0,3,0
1899,ARG,1,3395,61.5,,-9.65,4563,1.33,0,3,0
1900,ARG,1,2875,54,17.46,7.54,4693,1.5,0,3,0
1901,ARG,1,2880,51,16.73,5.99,4873,1.53,0,3,0
1902,ARG,1,2717,48.2,16.86,0,5060,1.59,0,3,0
1903,ARG,1,2992,40.8,16.16,-0.96,5254,1.67,0,3,0
1904,ARG,1,3191,37.3,21.13,-3.76,5455,1.65,0,3,0
1905,ARG,1,3479,27.7,28.83,15.75,5664,1.79,0,3,0
1906,ARG,1,3518,25.5,32.83,2.62,5881,1.83,0,3,0
1907,ARG,1,3459,27.2,39.7,6.69,6107,1.86,0,3,0
1908,ARG,1,3657,23,30.84,0.8,6341,2.01,0,3,0
1909,ARG,1,3699,24.5,33.13,5.43,6584,2.1,0,3,0
1910,ARG,1,3822,22.5,36.92,-0.75,6836,2,0,3,0
1911,ARG,1,3746,26.1,35.72,0.76,7098,2.17,0,3,0
1912,ARG,1,3904,23,26.92,3.65,7370,2.19,0,3,0
1913,ARG,1,3797,22.7,27.02,3.52,7653,2.34,0,3,0
1914,ARG,1,3302,24.7,18.68,0,7885,2.48,1,3,0
1915,ARG,1,3244,23.1,11.16,7.5,8072,2.43,0,3,0
1916,ARG,1,3091,22,10.16,7.07,8226,2.55,0,3,0
1917,ARG,1,2790,21.7,8.36,17.2,8374,2.6,0,3,0
1918,ARG,1,3248,15.1,7.13,26.39,8518,2.68,1,3,0
1919,ARG,1,3307,14.5,8.03,-5.98,8672,2.83,0,3,0
1920,ARG,1,3473,11.9,13.9,17.09,8861,2.88,1,3,0
1921,ARG,1,3471,14,15.68,-11.35,9092,2.98,0,3,0
1922,ARG,1,3636,15,17.04,-15.63,9368,3.06,0,3,0
1923,ARG,1,3898,13.6,21.21,-1.92,9707,3.11,1,3,0
1924,ARG,1,4055,14,21.11,1.96,10054,3.3,0,3,0
1925,ARG,1,3919,16.2,21.35,-2.92,10358,3.36,0,3,0
1926,ARG,1,3994,17.4,20.09,-3.01,10652,3.46,0,3,0
1927,ARG,1,4156,19.3,21.54,-1.06,10965,3.53,0,3,0
1928,ARG,1,4291,19.2,24.11,-0.54,11282,3.57,0,3,0
1929,ARG,1,4367,17.9,26.37,0.54,11592,3.69,0,3,0
1930,ARG,1,4080,19.1,23.15,1.07,11896,3.75,1,1,0
1931,ARG,1,3712,24.3,15.23,-13.46,12167,3.81,2,1,0
1932,ARG,1,3522,28.2,11.05,-10.75,12402,3.89,0,1,0
1933,ARG,1,3621,28.9,11.79,12.73,12623,3.93,1,1,0
1934,ARG,1,3845,26.5,14.48,-11.29,12834,4.03,1,1,0
1935,ARG,1,3950,30,13.66,6.66,13044,4.12,0,1,0
1936,ARG,1,3912,31.5,14.24,9.46,13260,4.16,0,1,0
1937,ARG,1,4125,27.2,17.81,2.27,13490,4.31,0,3,0
1938,ARG,1,4072,28.8,19.55,-1.15,13724,4.36,0,3,0
1939,ARG,1,4148,30.6,15.78,1.16,13984,4.47,0,3,0
1940,ARG,1,4161,30.4,13.63,2.3,14169,4.56,0,3,0
